127.0.0.1 - - [14/Aug/2017:22:34:11 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:34:56 +0530] "GET /ecommerce1/ HTTP/1.1" 200 8450
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:34:57 +0530] "GET /ecommerce1/resources/images/h1.jpg;jsessionid=BC461A8D537C5C8EBDC4614CA432FF77 HTTP/1.1" 200 134103
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:34:57 +0530] "GET /ecommerce1/resources/images/h2.jpg;jsessionid=BC461A8D537C5C8EBDC4614CA432FF77 HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:34:57 +0530] "GET /ecommerce1/resources/images/Xiaomi-Redmi-Note4-grey-med.jpg;jsessionid=BC461A8D537C5C8EBDC4614CA432FF77 HTTP/1.1" 200 70768
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:34:57 +0530] "GET /ecommerce1/resources/images/h3.jpg;jsessionid=BC461A8D537C5C8EBDC4614CA432FF77 HTTP/1.1" 200 34122
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:34:57 +0530] "GET /ecommerce1/resources/images/nokia.jpeg;jsessionid=BC461A8D537C5C8EBDC4614CA432FF77 HTTP/1.1" 200 16700
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:34:57 +0530] "GET /ecommerce1/resources/images/ASUS_zenfone_3_Max__L_1.jpg;jsessionid=BC461A8D537C5C8EBDC4614CA432FF77 HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:34:57 +0530] "GET /ecommerce1/resources/images/J7.jpg;jsessionid=BC461A8D537C5C8EBDC4614CA432FF77 HTTP/1.1" 200 30966
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:35:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:35:13 +0530] "GET /ecommerce1/admin/product HTTP/1.1" 200 6894
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:35:54 +0530] "GET /ecommerce1/admin/edit/69 HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [14/Aug/2017:22:36:07 +0530] "POST /ecommerce1/admin/edit/updateproduct HTTP/1.1" 405 1090
